Country_ID,Year_ID,Government_GDP_Value,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Perceptions_of_corruption,Positive_affect,Negative_affect,CC_Estimate,CC_Percent_Rank,CC_Percent_Rank_Lower,CC_Percent_Rank_Upper,SP_Global_Equity_Indices,Political_Stability_and_Absence_of_Violence_Estimate,Political_Stability_and_Absence_of_Violence_Ranking,Gini_Index
76,47,"36,5205874","7,672","10,745","0,965","68,72","0,969","0,132","0,683","0,172","2,45411086082459","99,5121917724609","97,0731735229492","100","28,5221205722893","1,50111103057861",100,28
76,49,"30,97315523","7,671","10,796","0,951","69,16","0,934","0,217","0,691","0,144","2,32084584236145","99,0291290283203","95,6310653686523","100","-56,8471868955076","1,44586837291718","99,5192337036133","27,8"
76,51,"44,47787056","7,393","10,734","0,935","69,6","0,916","0,413","0,758","0,202","2,15166974067688","98,0952377319336","93,8095245361328","100","10,7226057441209","1,42360687255859","97,1563949584961","27,7"
76,52,"46,71259306","7,354","10,754","0,938","69,82","0,936","0,32","0,709","0,205","2,1919150352478","99,052131652832","94,3127975463867","100","-33,0890695359779","1,39347100257874","98,1042633056641","27,6"
76,53,"50,22359068","7,42","10,735","0,928","70,04","0,921","0,361","0,742","0,202","2,22684669494629","98,1042633056641","95,7345962524414","100","12,6786254826915","1,40076518058777","98,1042633056641","27,1"
76,54,"52,1762325","7,445","10,722","0,941","70,26","0,919","0,306","0,752","0,195","2,20017123222351","98,1042633056641","95,7345962524414","100","35,4355466756062","1,38517248630524","97,1563949584961","27,2"
76,55,"54,72578143","7,385","10,714","0,952","70,48","0,933","0,265","0,766","0,199","2,15947580337524","98,5576934814453","95,1923065185547","100","-5,6258415902094","1,28219723701477","96,1904754638672","26,8"
76,56,"57,0433096","7,448","10,716","0,948","70,7","0,93","0,223","0,736","0,191","2,2564959526062","99,5192337036133","95,6730804443359","100","0,46848497953067","1,04058730602264","87,1428604125977","27,1"
76,57,"56,69599757","7,66","10,741","0,954","70,775","0,948","0,25","0,769","0,182","2,22835040092468","99,038459777832","96,1538467407227","100","-1,01840088550605","0,999086499214172","83,8095245361328","27,1"
76,58,"55,10801985","7,788","10,77","0,964","70,85","0,962","0,192","0,756","0,176","2,20336866378784","98,5576934814453","96,6346130371094","100","18,8943639564761","1,08090913295746","87,6190490722656","27,4"
